郑福然|女|郑福然|汉族|1996-01-06|党员|410900199601063573|基督教|美声||||17686852446|福建||||||小学|未婚|O|159||1558680445.152812|||||2019-05-24|23||382327424|410900199601063573||17686852446@163.com||湖北|航天员|小学|||中国|4|||||||||||1khvex7||导入||||
范红春|女|范红春|汉族|1973-10-05|群众|532621197310052693|佛教|水粉画||||18892121478|吉林||||||初中|已婚|O|156||1558680445.154721|||||2019-05-24|46||739642363|532621197310052693||18892121478@163.com||湖北|医生|初中|||中国|5|||||||||||jiazvg||导入||||
覃佐平|女|覃佐平|汉族|1933-02-20|群众|429004193302208508|道教|手工艺||||15090582061|海南||||||本科|已婚|O|179||1558680445.156049|||||2019-05-24|86||3776810492|429004193302208508||15090582061@126.com||湖北|经纪|本科|||中国|4|||||||||||vsycbedz7||导入||||
白龙周|男|白龙周|汉族|1947-12-14|群众|120225194712146301|佛教|羽毛球||||17868207636|青海||||||小学|已婚|O|158||1558680445.15745|||||2019-05-24|72||687790390|120225194712146301||687790390@qq.com||广东|翻译|小学|||中国|2|||||||||||jumtks||导入||||
邵莉诗|女|邵莉诗|汉族|1952-07-30|群众|710000195207304790|道教|古筝||||15553304366|陕西||||||初中|已婚|O|163||1558680445.158682|||||2019-05-24|67||2690103048|710000195207304790||15553304366@163.com||广东|场务|初中|||中国|5|||||||||||5oevi1st||导入||||
刘扬|男|刘扬|藏族|1971-10-22|群众|350403197110223866|佛教|通俗流行声乐||||18982811381|江苏||||||文盲与半文盲|已婚|O|175||1558680445.160031|||||2019-05-24|48||656551839|350403197110223866||656551839@qq.com||湖北|总台|文盲与半文盲|||中国|2|||||||||||g8otqyphw||导入||||
福州水安居家居饰品有限公司|女|福州水安居家居饰品有限公司|汉族|1997-05-26|群众|330304199705266343|基督教|美声||||15246934238|湖南||||||文盲与半文盲|未婚|O|183||1558680445.1612642|||||2019-05-24|22||85871007108|330304199705266343||85871007108@qq.com||福建|保险销售|文盲与半文盲|||中国|3|||||||||||a45ume3jsb||导入||||
上海鸿洋电子商务股份有限公司温州分公司|女|上海鸿洋电子商务股份有限公司温州分公司|汉族|1940-12-09|党员|231281194012094034|佛教|剪纸||||13564424134|台湾||||||初中|已婚|A|169||1558680445.16248|||||2019-05-24|79||7105208068|231281194012094034||7105208068@qq.com||浙江|促销|初中|||中国|4|||||||||||68qhcg2||导入||||
芮妞|女|芮妞|汉族|1953-08-15|党员|150625195308158871|基督教|水粉画||||18434522834|重庆||||||文盲与半文盲|已婚|O|159||1558680445.16372|||||2019-05-24|66||180814273|150625195308158871||18434522834@126.com||河南|促销|文盲与半文盲|||中国|2|||||||||||zidk9lu||导入||||
张家港市华信化工有限公司|女|张家港市华信化工有限公司|汉族|1942-08-29|群众|420202194208299313|道教|美声||||13659438543|上海||||||本科|已婚|O|176||1558680445.1650822|||||2019-05-24|77||315966009|420202194208299313||13659438543@163.com||江苏|工程师|本科|||中国|3|||||||||||8o0azthe5||导入||||
王志华|男|王志华|汉族|1951-02-15|群众|211121195102158475|道教|芭蕾舞||||14566362901|四川||||||文盲与半文盲|已婚|O|162||1558680445.1662679|||||2019-05-24|68||193341912|211121195102158475||193341912@qq.com||四川|裁判|文盲与半文盲|||中国|5|||||||||||jx52hmiwyo||导入||||
王亚妮|女|王亚妮|白族|2010-02-02|群众|321183201002021503|伊斯兰教|羽毛球||||15690322619|青海||||||高中|未婚|O|168||1558680445.167447|||||2019-05-24|9||9841087852|321183201002021503||15690322619@126.com||甘肃|健身教练|高中|||中国|5|||||||||||wtjali||导入||||
余利平|男|余利平|汉族|1936-07-08|群众|511111193607085602|伊斯兰教|手工艺||||14588092432|海南||||||小学|已婚|O|184||1558680445.168639|||||2019-05-24|83||2608871106|511111193607085602||2608871106@qq.com||浙江|车手|小学|||中国|3|||||||||||q6f2gjp||导入||||
黄兴国|男|黄兴国|汉族|1974-04-19|群众|330921197404199490|佛教|芭蕾舞||||18830295979|浙江||||||文盲与半文盲|已婚|A|168||1558680445.169798|||||2019-05-24|45||5490510833|330921197404199490||5490510833@qq.com||福建|技术员|文盲与半文盲|||中国|4|||||||||||zysx7hv9n||导入||||
徐延兵|男|徐延兵|汉族|1956-10-26|党员|460108195610262193|佛教|街舞||||15392739116|江西||||||小学|已婚|B|175||1558680445.1709812|||||2019-05-24|63||714785101|460108195610262193||714785101@qq.com||河南|公务员|小学|||中国|4|||||||||||1rz32gw||导入||||
