韩步康|男|韩步康|傣族|1954-02-17|群众|230223195402173408|基督教|水彩画||||17751266035|江苏||||||本科|已婚|B|155||||||2019-05-24|65||5430810574|230223195402173408||17751266035@163.com||河北|管理员|本科|||中国|3|||||20190524||||||6jyxob||导入||||
彭玉|男|彭玉|汉族|1984-05-26|群众|320113198405261865|基督教|提琴||||14997763726|黑龙江||||||本科|已婚|O|156||||||2019-05-24|35||25410251099|320113198405261865||25410251099@qq.com||湖北|特工|本科|||中国|2|||||20190524||||||2ytuq3khe1||导入||||
王玉磊|男|王玉磊|汉族|1929-04-11|群众|632825192904116903|道教|乒乓球||||13185108364|江西||||||大专|已婚|O|170||||||2019-05-24|90||531700483|632825192904116903||531700483@qq.com||湖北|保险销售|大专|||中国|4|||||20190524||||||r1ijl0d||导入||||
方朝阳|男|方朝阳|汉族|2000-06-19|群众|140431200006190583|佛教|芭蕾舞||||18690827482|吉林||||||大专|未婚|O|178||||||2019-05-24|19||5183102636|140431200006190583||18690827482@126.com||湖北|裁判|大专|||中国|3|||||20190524||||||gx0c4n2z||导入||||
田孟莹|女|田孟莹|汉族|1986-01-31|群众|520382198601317011|伊斯兰教|冰球||||15064232350|台湾||||||高中|已婚|AB|173||||||2019-05-24|33||9109668411|520382198601317011||9109668411@qq.com||湖北|保险销售|高中|||中国|4|||||20190524||||||4510is||导入||||
蒋德生|男|蒋德生|侗族|2002-04-05|群众|420527200204058696|道教|跑步||||15688597564|河北||||||高中|未婚|O|172||||||2019-05-24|17||4979931068|420527200204058696||4979931068@qq.com||湖北|按摩技师|高中|||中国|2|||||20190524||||||qnzcmp20||导入||||
单爱霞|女|单爱霞|汉族|2010-02-08|群众|141021201002087010|佛教|书法||||13781211483|宁夏回族自治区||||||大专|未婚|B|161||||||2019-05-24|9||4920701032|141021201002087010||4920701032@qq.com||湖北|厨师|大专|||中国|3|||||20190524||||||40xlhct||导入||||
郭雷|男|郭雷|汉族|1934-10-16|群众|410721193410166864|伊斯兰教|旱冰||||18524316032|云南||||||大专|已婚|O|168||||||2019-05-24|85||379324284|410721193410166864||18524316032@163.com||湖北|陪练|大专|||中国|3|||||20190524||||||hud40k31c7||导入||||
田国俊|男|田国俊|维吾尔族|1975-11-03|群众|420526197511031855|佛教|摄影||||13297302463|甘肃||||||本科|已婚|O|163||||||2019-05-24|44||617886346|420526197511031855||617886346@qq.com||湖北|场务|本科|||中国|4|||||20190524||||||xbficn||导入||||
张锋|男|张锋|汉族|1982-09-03|群众|430725198209032591|伊斯兰教|小品主持||||15294609855|吉林||||||本科|已婚|A|171||||||2019-05-24|37||571031670|430725198209032591||571031670@qq.com||湖北|营销人员|本科|||中国|2|||||20190524||||||gcri3z||导入||||
刘英会|男|刘英会|汉族|1972-01-24|群众|220700197201245997|道教|乒乓球||||13723360882|贵州||||||高中|已婚|O|157||||||2019-05-24|47||192268885|220700197201245997||192268885@qq.com||河北|经纪|高中|||中国|3|||||20190524||||||2mcnsb||导入||||
刘军|男|刘军|汉族|1983-07-27|群众|611000198307276329|道教|水彩画||||13358353640|北京||||||本科|已婚|A|182||||||2019-05-24|36||9811588610|611000198307276329||13358353640@163.com||陕西|乐师|本科|||中国|2|||||20190524||||||oybijht||导入||||
廖朋飞|男|廖朋飞|汉族|1948-04-13|群众|42070219480413060X|道教|美声||||13969073107|山东||||||本科|已婚|O|175||||||2019-05-24|71||4405236105|42070219480413060X||4405236105@qq.com||安徽|制片|本科|||中国|3|||||20190524||||||xp8c6uk||导入||||
吴西建|男|吴西建|彝族|1990-10-18|群众|520328199010183513|基督教|桑巴舞||||13210220376|台湾||||||本科|未婚|O|167||||||2019-05-24|29||842212496|520328199010183513||13210220376@126.com||河南|科研人员|本科|||中国|2|||||20190524||||||dtg9uo47r||导入||||
赵宇轩|男|赵宇轩|汉族|1964-11-12|群众|331102196411128221|基督教|水粉画||||13210644921|浙江||||||博士|已婚|A|165||||||2019-05-24|55||1109653686|331102196411128221||13210644921@163.com||河北|演员|博士|||中国|5|||||20190524||||||4lgfpsjhtv||导入||||
杨金山|男|杨金山|汉族|1944-07-10|群众|370400194407102273|佛教|陶艺||||17362038440|黑龙江||||||本科|已婚|O|173||||||2019-05-24|75||381997746|370400194407102273||381997746@qq.com||湖北|总台|本科|||中国|5|||||20190524||||||vqg5jk0op4||导入||||
金雪媚|女|金雪媚|汉族|1932-04-10|党员|220182193204102776|伊斯兰教|民族舞||||15151466869|广西壮族自治区||||||本科|已婚|O|181||||||2019-05-24|87||975977358|220182193204102776||15151466869@163.com||浙江|管理员|本科|||中国|2|||||20190524||||||21kwbgm||导入||||
张苹|男|张苹|土家族|1982-12-30|群众|350926198212302529|佛教|羽毛球||||15638915373|上海||||||大专|已婚|O|177||||||2019-05-24|37||173104161010|350926198212302529||15638915373@126.com||江苏|航天员|大专|||中国|3|||||20190524||||||owadum||导入||||
