name|sex|oldName|nation|birthday|political_status|card|tel|address
Nature自然科研|女|Nature自然科研|侗族|1976-02-17|团员|371581197602177754|14535874341|
张三|男|张三|布依族|1934-07-15|团员|610114193407150774|17057038710|
ADD LI|男|ADD LI|壮族|1995-06-03|团员|410481199506031371|15928428506|北海道
嗯九月初十|女|嗯九月初十|汉族|1974-08-26|党员|632821197408265018|17844344974|
宋雯婷|女|宋雯婷|哈尼族|1969-10-08|党员|520621196910085036|14537925127|
Delight2333|女|Delight2333|土家族|1944-09-24|团员|420804194409240022|14558607168|
夏安|男|夏安|维吾尔族|1992-10-13|党员|511112199210131299|14786044612|上海
彩云|女|彩云|哈萨克族|1950-01-06|党员|522729195001062498|14754994404|
奶猪|女|奶猪|布依族|1956-04-20|党员|450324195604209854|13069026028|
小红拖拉机|男|小红拖拉机|汉族|1947-09-27|党员|130503194709274708|13719984539|北京
小懋|男|小懋|哈尼族|2008-06-12|群众|530628200806126956|14725595261|西安
王家CFA|男|王家CFA|黎族|1972-02-11|团员|610327197202111211|14518507879|北京
shotgun|男|shotgun|汉族|1976-06-11|党员|320506197606115745|15098552970|环太平洋
阿莱克西斯|男|阿莱克西斯|藏族|1934-09-04|党员|610124193409046295|15265915975|西雅图萨马米什
站在山头望夕阳|女|站在山头望夕阳|瑶族|1997-06-18|群众|34060219970618437X|18441124100|
暴躁的马化腾|女|暴躁的马化腾|黎族|1942-02-24|群众|210503194202247129|15397435762|
孟昭然MENG|男|孟昭然MENG|侗族|1946-08-28|团员|440981194608282331|18019425937|北京
Kenneth Pan|男|Kenneth Pan|朝鲜族|2010-08-04|团员|622922201008042885|14754034826|落山鸡
渤海望|男|渤海望|蒙古族|1997-01-04|群众|469002199701046392|13940168475|青岛
Cindy Wong|女|Cindy Wong|壮族|1997-05-28|团员|31010619970528366X|18485880808|
雨舟|男|雨舟|布依族|1934-12-29|群众|513225193412293335|14710936482|北京市
夜雨声寒|男|夜雨声寒|侗族|1958-03-10|群众|361122195803105391|15625489896|阿卡姆
懒饭|女|懒饭|瑶族|1966-07-11|团员|150222196607111428|17219068536|北京
豆子|男|豆子|壮族|1958-04-19|团员|340604195804196571|13623122673|City of Springs
网易体育|女|网易体育|哈萨克族|1930-06-20|群众|510302193006204294|17747135836|
穆卡|女|穆卡|维吾尔族|1981-12-05|团员|420700198112054103|15650367452|北京
公路商店ontheroadstore|女|公路商店ontheroadstore|朝鲜族|1944-01-16|党员|410322194401164292|18727715030|
企鹅智酷|女|企鹅智酷|白族|1973-11-09|团员|430981197311098834|18735720909|
张三|男|张三|布依族|1987-04-06|团员|15012419870406843X|14546253376|
国资小新|女|国资小新|土家族|1995-07-03|党员|330205199507037225|15324326514|
Lynnl|女|Lynnl|哈尼族|2016-04-27|党员|31000020160427367X|13383245005|厦门
赛门|男|赛门|哈萨克族|1931-01-23|团员|360430193101237177|18649225487|杭州
博洛尼全屋定制|女|博洛尼全屋定制|朝鲜族|1945-03-06|团员|420582194503064451|17857612975|
BeyondTheSky|男|BeyondTheSky|瑶族|1945-03-31|团员|411502194503318455|14523347563|西安市
LRENZ|男|LRENZ|白族|1992-08-18|团员|430112199208185393|13022100240|广州市
曼食慢语|女|曼食慢语|满族|1949-04-28|党员|421125194904281395|14751753079|上海市
奢侈名品王晓冰|女|奢侈名品王晓冰|白族|2012-01-11|团员|43122620120111989X|13827510764|
好好住|女|好好住|藏族|1932-08-12|党员|522636193208127454|18843847203|
书雅|女|书雅|哈萨克族|2005-02-09|群众|131022200502093986|15094143310|
西堤古董家具|女|西堤古董家具|瑶族|1935-06-07|群众|410183193506071057|18866207029|
丁香医生|女|丁香医生|朝鲜族|1950-06-21|团员|230183195006219188|15569104852|
Kumakuma|女|Kumakuma|侗族|1953-06-07|党员|445222195306073201|14585160461|
天涯明月|女|天涯明月|哈萨克族|1994-03-31|团员|130403199403315957|15917099959|河北省
richard|女|richard|彝族|1996-04-19|团员|610928199604190547|15652671496|
苏小墨|女|苏小墨|哈尼族|1950-06-07|团员|542122195006072819|17587824715|上海
宋庆芳|女|宋庆芳|土家族|1998-08-07|群众|320581199808079980|15679587388|
勇者别嚣张|男|勇者别嚣张|白族|1953-05-04|群众|450203195305043092|18573532930|
瑾枫|男|瑾枫|哈萨克族|1930-10-22|群众|54233419301022136X|17840405198|上海
郭家寶|男|郭家寶|侗族|1966-08-31|群众|23038119660831170X|17161760977|东京
椰丝Yes|女|椰丝Yes|布依族|1951-12-10|团员|150626195112105934|15666289237|北京市
云舞空城|男|云舞空城|哈尼族|1931-05-09|团员|513227193105096705|15992629364|北京
Fan Francis|男|Fan Francis|壮族|1994-11-02|党员|54222319941102532X|14529656701|洛杉矶
张子立|男|张子立|土家族|1965-05-21|党员|31010119650521295X|13899175744|北京市
晓晓|女|晓晓|满族|1938-07-14|党员|340404193807142624|18194762984|绵阳市
Calon|男|Calon|苗族|1969-04-28|群众|520521196904281529|15775243354|
英曼|女|英曼|瑶族|1971-06-13|党员|370404197106134078|17631304115|
父亲|男|父亲|土家族|1947-10-13|团员|411426194710139172|17658241890|北京
御前带刀|男|御前带刀|蒙古族|2005-01-01|群众|511922200501018917|14911624873|
元宿six|男|元宿six|壮族|1947-11-17|党员|140927194711171921|18421725803|
Flartisan|男|Flartisan|蒙古族|2001-03-28|群众|621022200103285557|13463490210|北京
陈哈娜|女|陈哈娜|哈尼族|1998-02-18|群众|360123199802189742|13592557023|杭州
凌暴暴|女|凌暴暴|维吾尔族|1974-06-02|党员|640400197406020216|17069525484|上海
十七|女|十七|蒙古族|1998-05-10|党员|211202199805105219|15160672293|
云石|男|云石|蒙古族|1953-07-30|党员|542301195307305347|17547613381|北京
成楚旸|男|成楚旸|侗族|1967-12-29|群众|140107196712299505|17586654800|成都
徐湘楠|男|徐湘楠|白族|1966-12-31|团员|210521196612317849|14911984631|
李小猴砸|女|李小猴砸|土家族|1973-07-04|群众|320400197307043901|13929977494|杭州，曾居北京、广州、海口，一路飞鸟与鸡毛
妙面爸|男|妙面爸|回族|1943-06-29|群众|542224194306293182|18886077345|广东
没事干研究院|女|没事干研究院|黎族|1963-10-28|团员|152500196310284926|17168262934|
张三|男|张三|哈萨克族|2010-11-07|群众|230203201011071984|14545495309|
观察者|男|观察者|侗族|1929-11-17|团员|130631192911173224|14727980475|新疆
Palances|女|Palances|满族|1969-11-26|党员|371400196911262794|14521026628|上海市
张哆嗦|男|张哆嗦|汉族|1940-05-17|团员|130111194005174029|17840579772|
闻佳|女|闻佳|布依族|1960-02-26|团员|440823196002263371|18419975331|上海
赵山山|男|赵山山|彝族|1993-09-09|团员|310110199309094693|18086155590|南京市
不狠怎能日刺猬|男|不狠怎能日刺猬|蒙古族|1978-02-04|团员|540126197802040335|15377692008|
快乐一剑飘|男|快乐一剑飘|朝鲜族|1968-07-14|团员|441200196807146387|15143521566|我到河北省来
混沌椰子王|男|混沌椰子王|哈萨克族|1994-01-29|团员|542228199401297075|15796725753|
小毛爸比|男|小毛爸比|黎族|1931-12-21|党员|150429193112216772|18774036284|
芋头|女|芋头|土家族|1980-01-18|党员|340803198001188445|14977904244|
Wifs P|男|Wifs P|侗族|1984-04-12|团员|44050719840412369X|15912196951|上海
NiSS的每日美食|男|NiSS的每日美食|蒙古族|1996-12-30|群众|430121199612301954|13886549444|北京
CosmovonAmoy|男|CosmovonAmoy|白族|1970-03-14|群众|430421197003148402|13562786519|厦门
颢卿|男|颢卿|朝鲜族|1954-03-29|群众|620723195403298966|18380177760|加拿大
babyquant|男|babyquant|维吾尔族|2010-12-24|团员|220822201012240452|18678425180|广州市
Falcon Leo|男|Falcon Leo|哈尼族|2013-02-14|群众|110112201302145959|18964642487|伦敦（Greater London）
L-Jay|男|L-Jay|回族|1973-03-01|党员|640205197303013014|14921104312|山景城（Mountain View）
梦尧|男|梦尧|彝族|1956-10-20|团员|410326195610207375|18243954506|上海
金无赖|男|金无赖|维吾尔族|1985-11-25|团员|52050019851125376X|15648197895|
忘潮|男|忘潮|白族|1980-11-26|党员|350481198011267912|17628587504|
果姨就是果爷|女|果姨就是果爷|藏族|1938-01-31|党员|621022193801315263|15199763974|
刘翔熙|男|刘翔熙|苗族|1952-11-14|团员|411104195211140881|14540943296|大俄亥俄首府
白苏艾|男|白苏艾|瑶族|1970-09-26|党员|411024197009260731|18945055934|西安
南京有个号|女|南京有个号|维吾尔族|1965-05-28|群众|431002196505284258|17865994031|南京
谷歌开发者|女|谷歌开发者|苗族|2002-06-30|党员|53332420020630529X|17115550450|
grapeot|女|grapeot|土家族|1985-04-17|党员|150826198504178280|17897777479|居住地
卢彦宗|男|卢彦宗|壮族|1935-11-20|群众|51182319351120501X|13532957185|上海
李云景|男|李云景|布依族|2015-09-10|群众|23070220150910182X|14728863633|广州
菲利普医生|男|菲利普医生|白族|1960-01-09|党员|500230196001097241|14530921397|上海
章彦博|男|章彦博|瑶族|2018-10-27|党员|610124201810271023|17811758692|安徽
FantasticCathy|女|FantasticCathy|苗族|1985-02-27|群众|31011019850227750X|14526719921|北京
GeorGia|女|GeorGia|哈尼族|1989-07-27|党员|533123198907276711|13482482410|
喜欢下雨|女|喜欢下雨|哈萨克族|1989-10-27|党员|140722198910277409|15583275784|浙江省
左勇江|男|左勇江|瑶族|1986-10-28|团员|520422198610285030|15674878593|深圳工作
